,LineId,Date,Time,Machine,Daemon,log1stcut,Daemon.1,Content,EventId,EventTemplate,faltu,change,chang,num*s
0,1,3/1/13,00:00,master,nagios,CURRENT,HOST,STATE: oss20;UP;HARD;1;PING OK - Packet loss = 0% RTA = 0.38 ms,7b21b230,STATE * OK - Packet loss 0% RTA * ms,0,0,STATE{+ :} {* -> oss20;UP;HARD;1;PING} OK - Packet loss {+ = }0% RTA {* -> = 0.38} ms,2
1,2,3/1/13,00:00,master,nagios,CURRENT,SERVICE,STATE: oss1;PING;OK;HARD;1;PING OK - Packet loss = 0% RTA = 0.28 ms,7b21b230,STATE * OK - Packet loss 0% RTA * ms,0,0,STATE{+ :} {* -> oss1;PING;OK;HARD;1;PING} OK - Packet loss {+ = }0% RTA {* -> = 0.28} ms,2
2,3,3/1/13,00:00,oss12,multipathd,sdal:,unusable,path,d6fe1d0b,path,0,0,path,2
3,4,3/1/13,00:00,master,nagios,CURRENT,SERVICE,STATE: oss1;ssh check;OK;HARD;1;PING OK - Packet loss = 0% RTA = 0.21 ms,7b21b230,STATE * OK - Packet loss 0% RTA * ms,0,0,STATE{+ :} {* -> oss1;ssh check;OK;HARD;1;PING} OK - Packet loss {+ = }0% RTA {* -> = 0.21} ms,2
4,5,3/1/13,00:00,master,nagios,CURRENT,SERVICE,STATE: oss10;PING;OK;HARD;1;PING OK - Packet loss = 0% RTA = 0.21 ms,7b21b230,STATE * OK - Packet loss 0% RTA * ms,0,0,STATE{+ :} {* -> oss10;PING;OK;HARD;1;PING} OK - Packet loss {+ = }0% RTA {* -> = 0.21} ms,2
5,6,3/1/13,00:00,master,nagios,CURRENT,SERVICE,STATE: oss10;ssh check;OK;HARD;1;PING OK - Packet loss = 0% RTA = 0.17 ms,7b21b230,STATE * OK - Packet loss 0% RTA * ms,0,0,STATE{+ :} {* -> oss10;ssh check;OK;HARD;1;PING} OK - Packet loss {+ = }0% RTA {* -> = 0.17} ms,2
6,7,3/1/13,00:00,master,nagios,CURRENT,SERVICE,STATE: oss11;PING;OK;HARD;1;PING OK - Packet loss = 0% RTA = 0.21 ms,7b21b230,STATE * OK - Packet loss 0% RTA * ms,0,0,STATE{+ :} {* -> oss11;PING;OK;HARD;1;PING} OK - Packet loss {+ = }0% RTA {* -> = 0.21} ms,2
7,8,3/1/13,00:00,master,nagios,CURRENT,SERVICE,STATE: oss11;ssh check;OK;HARD;1;PING OK - Packet loss = 0% RTA = 0.18 ms,7b21b230,STATE * OK - Packet loss 0% RTA * ms,0,0,STATE{+ :} {* -> oss11;ssh check;OK;HARD;1;PING} OK - Packet loss {+ = }0% RTA {* -> = 0.18} ms,2
8,9,3/1/13,00:00,master,nagios,CURRENT,SERVICE,STATE: nagios;ssh check;CRITICAL;HARD;3;PING CRITICAL - Packet loss = 100%,5d2e33d6,STATE * * CRITICAL - Packet loss 100%,0,0,STATE{+ :} {* -> nagios;ssh} {* -> check;CRITICAL;HARD;3;PING} CRITICAL - Packet loss {+ = }100%,2
9,10,3/1/13,00:00,master,nagios,CURRENT,SERVICE,STATE: oss12;PING;OK;HARD;1;PING OK - Packet loss = 0% RTA = 0.25 ms,7b21b230,STATE * OK - Packet loss 0% RTA * ms,0,0,STATE{+ :} {* -> oss12;PING;OK;HARD;1;PING} OK - Packet loss {+ = }0% RTA {* -> = 0.25} ms,2
10,11,3/1/13,00:00,master,nagios,CURRENT,SERVICE,STATE: oss13;PING;OK;HARD;1;PING OK - Packet loss = 0% RTA = 2.71 ms,7b21b230,STATE * OK - Packet loss 0% RTA * ms,0,0,STATE{+ :} {* -> oss13;PING;OK;HARD;1;PING} OK - Packet loss {+ = }0% RTA {* -> = 2.71} ms,2
11,12,3/1/13,00:00,master,nagios,CURRENT,SERVICE,STATE: oss13;ssh check;OK;HARD;1;PING OK - Packet loss = 0% RTA = 0.18 ms,7b21b230,STATE * OK - Packet loss 0% RTA * ms,0,0,STATE{+ :} {* -> oss13;ssh check;OK;HARD;1;PING} OK - Packet loss {+ = }0% RTA {* -> = 0.18} ms,2
12,13,3/1/13,00:00,master,nagios,CURRENT,SERVICE,STATE: oss14;PING;OK;HARD;1;PING OK - Packet loss = 0% RTA = 0.28 ms,7b21b230,STATE * OK - Packet loss 0% RTA * ms,0,0,STATE{+ :} {* -> oss14;PING;OK;HARD;1;PING} OK - Packet loss {+ = }0% RTA {* -> = 0.28} ms,2
13,14,3/1/13,00:00,master,nagios,CURRENT,SERVICE,STATE: oss14;ssh check;OK;HARD;1;PING OK - Packet loss = 0% RTA = 0.29 ms,7b21b230,STATE * OK - Packet loss 0% RTA * ms,0,0,STATE{+ :} {* -> oss14;ssh check;OK;HARD;1;PING} OK - Packet loss {+ = }0% RTA {* -> = 0.29} ms,2
14,15,3/1/13,00:00,master,nagios,CURRENT,SERVICE,STATE: oss15;PING;OK;HARD;1;PING OK - Packet loss = 0% RTA = 0.24 ms,7b21b230,STATE * OK - Packet loss 0% RTA * ms,0,0,STATE{+ :} {* -> oss15;PING;OK;HARD;1;PING} OK - Packet loss {+ = }0% RTA {* -> = 0.24} ms,2
15,16,3/1/13,00:00,master,nagios,CURRENT,SERVICE,STATE: oss15;ssh check;OK;HARD;1;PING OK - Packet loss = 0% RTA = 0.29 ms,7b21b230,STATE * OK - Packet loss 0% RTA * ms,0,0,STATE{+ :} {* -> oss15;ssh check;OK;HARD;1;PING} OK - Packet loss {+ = }0% RTA {* -> = 0.29} ms,2
16,17,3/1/13,00:00,master,nagios,CURRENT,SERVICE,STATE: oss16;PING;OK;HARD;1;PING OK - Packet loss = 0% RTA = 0.16 ms,7b21b230,STATE * OK - Packet loss 0% RTA * ms,0,0,STATE{+ :} {* -> oss16;PING;OK;HARD;1;PING} OK - Packet loss {+ = }0% RTA {* -> = 0.16} ms,2
17,18,3/1/13,00:00,master,nagios,CURRENT,SERVICE,STATE: oss12;ssh check;OK;HARD;1;PING OK - Packet loss = 0% RTA = 0.20 ms,7b21b230,STATE * OK - Packet loss 0% RTA * ms,0,0,STATE{+ :} {* -> oss12;ssh check;OK;HARD;1;PING} OK - Packet loss {+ = }0% RTA {* -> = 0.20} ms,2
18,19,3/1/13,00:00,master,nagios,CURRENT,SERVICE,STATE: oss16;ssh check;OK;HARD;1;PING OK - Packet loss = 0% RTA = 0.16 ms,7b21b230,STATE * OK - Packet loss 0% RTA * ms,0,0,STATE{+ :} {* -> oss16;ssh check;OK;HARD;1;PING} OK - Packet loss {+ = }0% RTA {* -> = 0.16} ms,2
19,20,3/1/13,00:00,master,nagios,CURRENT,SERVICE,STATE: nagios;PING;CRITICAL;HARD;3;CRITICAL - Plugin timed out after 30 seconds,9ec51af8,STATE * - Plugin timed out after 30 seconds,0,0,STATE{+ :} {* -> nagios;PING;CRITICAL;HARD;3;CRITICAL} - Plugin timed out after 30 seconds,2
20,21,3/1/13,00:00,master,nagios,CURRENT,SERVICE,STATE: mds4;PING;OK;HARD;1;PING OK - Packet loss = 0% RTA = 0.22 ms,7b21b230,STATE * OK - Packet loss 0% RTA * ms,0,0,STATE{+ :} {* -> mds4;PING;OK;HARD;1;PING} OK - Packet loss {+ = }0% RTA {* -> = 0.22} ms,2
21,22,3/1/13,00:00,master,nagios,CURRENT,SERVICE,STATE: login2-private;check login root disk;CRITICAL;HARD;3;Connection refused by host,fcca56ba,STATE * login * * refused by host,0,0,STATE{+ :} {* -> login2-private;check} login {* -> root} {* -> disk;CRITICAL;HARD;3;Connection} refused by host,2
22,23,3/1/13,00:00,master,nagios,CURRENT,SERVICE,STATE: login2-private;ssh check;OK;HARD;1;PING OK - Packet loss = 0% RTA = 0.22 ms,7b21b230,STATE * OK - Packet loss 0% RTA * ms,0,0,STATE{+ :} {* -> login2-private;ssh check;OK;HARD;1;PING} OK - Packet loss {+ = }0% RTA {* -> = 0.22} ms,2
23,24,3/1/13,00:00,master,nagios,CURRENT,SERVICE,STATE: login2-public;PING;OK;HARD;1;PING OK - Packet loss = 0% RTA = 0.70 ms,7b21b230,STATE * OK - Packet loss 0% RTA * ms,0,0,STATE{+ :} {* -> login2-public;PING;OK;HARD;1;PING} OK - Packet loss {+ = }0% RTA {* -> = 0.70} ms,2
24,25,3/1/13,00:00,master,nagios,CURRENT,SERVICE,STATE: login2-public;ssh check;OK;HARD;1;PING OK - Packet loss = 0% RTA = 0.72 ms,7b21b230,STATE * OK - Packet loss 0% RTA * ms,0,0,STATE{+ :} {* -> login2-public;ssh check;OK;HARD;1;PING} OK - Packet loss {+ = }0% RTA {* -> = 0.72} ms,2
25,26,3/1/13,00:00,master,nagios,CURRENT,SERVICE,STATE: login3-private;PING;OK;HARD;1;PING OK - Packet loss = 0% RTA = 0.31 ms,7b21b230,STATE * OK - Packet loss 0% RTA * ms,0,0,STATE{+ :} {* -> login3-private;PING;OK;HARD;1;PING} OK - Packet loss {+ = }0% RTA {* -> = 0.31} ms,2
26,27,3/1/13,00:00,master,nagios,CURRENT,SERVICE,STATE: login3-private;ssh check;OK;HARD;1;PING OK - Packet loss = 0% RTA = 0.26 ms,7b21b230,STATE * OK - Packet loss 0% RTA * ms,0,0,STATE{+ :} {* -> login3-private;ssh check;OK;HARD;1;PING} OK - Packet loss {+ = }0% RTA {* -> = 0.26} ms,2
27,28,3/1/13,00:00,master,nagios,CURRENT,SERVICE,STATE: login3-public;PING;OK;HARD;1;PING OK - Packet loss = 0% RTA = 0.82 ms,7b21b230,STATE * OK - Packet loss 0% RTA * ms,0,0,STATE{+ :} {* -> login3-public;PING;OK;HARD;1;PING} OK - Packet loss {+ = }0% RTA {* -> = 0.82} ms,2
28,29,3/1/13,00:00,master,nagios,CURRENT,SERVICE,STATE: mds4;ssh check;OK;HARD;1;PING OK - Packet loss = 0% RTA = 0.26 ms,7b21b230,STATE * OK - Packet loss 0% RTA * ms,0,0,STATE{+ :} {* -> mds4;ssh check;OK;HARD;1;PING} OK - Packet loss {+ = }0% RTA {* -> = 0.26} ms,2
29,30,3/1/13,00:00,master,nagios,CURRENT,SERVICE,STATE: login3-public;ssh check;OK;HARD;1;PING OK - Packet loss = 0% RTA = 0.78 ms,7b21b230,STATE * OK - Packet loss 0% RTA * ms,0,0,STATE{+ :} {* -> login3-public;ssh check;OK;HARD;1;PING} OK - Packet loss {+ = }0% RTA {* -> = 0.78} ms,2
30,31,3/1/13,00:00,master,nagios,CURRENT,SERVICE,STATE: master;ssh check;CRITICAL;HARD;3;PING CRITICAL - Packet loss = 100%,5d2e33d6,STATE * * CRITICAL - Packet loss 100%,0,0,STATE{+ :} {* -> master;ssh} {* -> check;CRITICAL;HARD;3;PING} CRITICAL - Packet loss {+ = }100%,2
31,32,3/1/13,00:00,master,nagios,CURRENT,SERVICE,STATE: mds1;PING;OK;HARD;1;PING OK - Packet loss = 0% RTA = 0.13 ms,7b21b230,STATE * OK - Packet loss 0% RTA * ms,0,0,STATE{+ :} {* -> mds1;PING;OK;HARD;1;PING} OK - Packet loss {+ = }0% RTA {* -> = 0.13} ms,2
32,33,3/1/13,00:00,master,nagios,CURRENT,SERVICE,STATE: mds1;ssh check;OK;HARD;1;PING OK - Packet loss = 0% RTA = 0.15 ms,7b21b230,STATE * OK - Packet loss 0% RTA * ms,0,0,STATE{+ :} {* -> mds1;ssh check;OK;HARD;1;PING} OK - Packet loss {+ = }0% RTA {* -> = 0.15} ms,2
33,34,3/1/13,00:00,master,nagios,CURRENT,SERVICE,STATE: mds2;PING;OK;HARD;1;PING OK - Packet loss = 0% RTA = 0.22 ms,7b21b230,STATE * OK - Packet loss 0% RTA * ms,0,0,STATE{+ :} {* -> mds2;PING;OK;HARD;1;PING} OK - Packet loss {+ = }0% RTA {* -> = 0.22} ms,2
34,35,3/1/13,00:00,master,nagios,CURRENT,SERVICE,STATE: mds2;ssh check;OK;HARD;1;PING OK - Packet loss = 0% RTA = 0.19 ms,7b21b230,STATE * OK - Packet loss 0% RTA * ms,0,0,STATE{+ :} {* -> mds2;ssh check;OK;HARD;1;PING} OK - Packet loss {+ = }0% RTA {* -> = 0.19} ms,2
35,36,3/1/13,00:00,master,nagios,CURRENT,SERVICE,STATE: mds3;PING;OK;HARD;1;PING OK - Packet loss = 0% RTA = 0.16 ms,7b21b230,STATE * OK - Packet loss 0% RTA * ms,0,0,STATE{+ :} {* -> mds3;PING;OK;HARD;1;PING} OK - Packet loss {+ = }0% RTA {* -> = 0.16} ms,2
36,37,3/1/13,00:00,master,nagios,CURRENT,SERVICE,STATE: mds3;ssh check;OK;HARD;1;PING OK - Packet loss = 0% RTA = 0.25 ms,7b21b230,STATE * OK - Packet loss 0% RTA * ms,0,0,STATE{+ :} {* -> mds3;ssh check;OK;HARD;1;PING} OK - Packet loss {+ = }0% RTA {* -> = 0.25} ms,2
37,38,3/1/13,00:00,master,nagios,CURRENT,SERVICE,STATE: master;PING;CRITICAL;HARD;3;PING CRITICAL - Packet loss = 100%,5d2e33d6,STATE * * CRITICAL - Packet loss 100%,0,0,STATE{+ :} {* * -> master;PING;CRITICAL;HARD;3;PING} CRITICAL - Packet loss {+ = }100%,2
38,39,3/1/13,00:00,master,nagios,CURRENT,SERVICE,STATE: login2-private;check login nodes load;CRITICAL;HARD;3;Connection refused by host,fcca56ba,STATE * login * * refused by host,0,0,STATE{+ :} {* -> login2-private;check} login {* -> nodes} {* -> load;CRITICAL;HARD;3;Connection} refused by host,2
39,40,3/1/13,00:00,master,nagios,CURRENT,SERVICE,STATE: oss17;PING;OK;HARD;1;PING OK - Packet loss = 0% RTA = 3.86 ms,7b21b230,STATE * OK - Packet loss 0% RTA * ms,0,0,STATE{+ :} {* -> oss17;PING;OK;HARD;1;PING} OK - Packet loss {+ = }0% RTA {* -> = 3.86} ms,2
40,41,3/1/13,00:00,master,nagios,CURRENT,SERVICE,STATE: oss18;PING;OK;HARD;1;PING OK - Packet loss = 0% RTA = 0.25 ms,7b21b230,STATE * OK - Packet loss 0% RTA * ms,0,0,STATE{+ :} {* -> oss18;PING;OK;HARD;1;PING} OK - Packet loss {+ = }0% RTA {* -> = 0.25} ms,2
