LineId,Time,Machine,Daemon,Content,EventId,EventTemplate
1,"2490801,2013-03-01","00:00:00,master,nagios,CURRENT",HOST,STATE: oss20;UP;HARD;1;PING OK - Packet loss = 0% RTA = 0.38 ms,a4ab1d7e,STATE * * - Packet loss *
2,"2411797,2013-03-01","00:00:00,master,nagios,CURRENT",SERVICE,STATE: oss1;PING;OK;HARD;1;PING OK - Packet loss = 0% RTA = 0.28 ms,a4ab1d7e,STATE * * - Packet loss *
3,"2411798,2013-03-01","00:00:00,oss12,multipathd,sdal:",unusable,path,d6fe1d0b,path
4,"2411799,2013-03-01","00:00:00,master,nagios,CURRENT",SERVICE,STATE: oss1;ssh check;OK;HARD;1;PING OK - Packet loss = 0% RTA = 0.21 ms,a4ab1d7e,STATE * * - Packet loss *
5,"2411800,2013-03-01","00:00:00,master,nagios,CURRENT",SERVICE,STATE: oss10;PING;OK;HARD;1;PING OK - Packet loss = 0% RTA = 0.21 ms,a4ab1d7e,STATE * * - Packet loss *
6,"2411801,2013-03-01","00:00:00,master,nagios,CURRENT",SERVICE,STATE: oss10;ssh check;OK;HARD;1;PING OK - Packet loss = 0% RTA = 0.17 ms,a4ab1d7e,STATE * * - Packet loss *
7,"2411802,2013-03-01","00:00:00,master,nagios,CURRENT",SERVICE,STATE: oss11;PING;OK;HARD;1;PING OK - Packet loss = 0% RTA = 0.21 ms,a4ab1d7e,STATE * * - Packet loss *
8,"2411803,2013-03-01","00:00:00,master,nagios,CURRENT",SERVICE,STATE: oss11;ssh check;OK;HARD;1;PING OK - Packet loss = 0% RTA = 0.18 ms,a4ab1d7e,STATE * * - Packet loss *
9,"2411796,2013-03-01","00:00:00,master,nagios,CURRENT",SERVICE,STATE: nagios;ssh check;CRITICAL;HARD;3;PING CRITICAL - Packet loss = 100%,a4ab1d7e,STATE * * - Packet loss *
10,"2411804,2013-03-01","00:00:00,master,nagios,CURRENT",SERVICE,STATE: oss12;PING;OK;HARD;1;PING OK - Packet loss = 0% RTA = 0.25 ms,a4ab1d7e,STATE * * - Packet loss *
11,"2411806,2013-03-01","00:00:00,master,nagios,CURRENT",SERVICE,STATE: oss13;PING;OK;HARD;1;PING OK - Packet loss = 0% RTA = 2.71 ms,a4ab1d7e,STATE * * - Packet loss *
12,"2411807,2013-03-01","00:00:00,master,nagios,CURRENT",SERVICE,STATE: oss13;ssh check;OK;HARD;1;PING OK - Packet loss = 0% RTA = 0.18 ms,a4ab1d7e,STATE * * - Packet loss *
13,"2411808,2013-03-01","00:00:00,master,nagios,CURRENT",SERVICE,STATE: oss14;PING;OK;HARD;1;PING OK - Packet loss = 0% RTA = 0.28 ms,a4ab1d7e,STATE * * - Packet loss *
